id,text,created_at,reposts_count,comments_count,attitudes_count,source
5132953807755374,"如果你知道张泽禹应援延伸277米你也会觉得宝丝牛逼吧 
#张泽禹绿海一条街# ​",Tue Feb 11 19:56:56 +0800 2025,607,228,1359,超话粉丝大咖（张泽禹超话）
5132954894599580,【#哪吒2票房超过超人总动员2##哪吒2离100亿还远吗#】据网络平台数据，《哪吒之魔童闹海》累计票房（含预售）破90.15亿，超《超人总动员2》票房成绩，进入全球动画电影票房榜前五！#哪吒2票房破90亿# http://t.cn/A617uC2k ​​​,Tue Feb 11 20:01:15 +0800 2025,4,5,52,中央广播电视总台
5131045733401117,"#张凌赫[超话]# 

   「凌时工作碎片」🧩

春光拂过窗棂，见证跳动的粉润诗篇。@张凌赫z ​",Thu Feb 06 13:34:56 +0800 2025,13076,9037,33116,张凌赫工作室
5132940445486037,【#哪吒2票房破90亿#】据网络平台数据（灯塔专业版），《哪吒之魔童闹海》总票房（含点映及预售）已突破90亿元。#哪吒2突破90亿大关# ​​​,Tue Feb 11 19:03:50 +0800 2025,1680,2154,46036,新华社法人微博
5132924383134856,#声生不息金曲盛典探班直播##声生不息# 全员到齐，直播开启，快来直播间向我提问吧！#综艺营业中#  http://t.cn/A61hQ2Lf ​,Tue Feb 11 18:00:01 +0800 2025,4009,4953,6195,香港歌手卫兰
5132930130907928,热烈祝贺#国色芳华云合集均破4000万#🎉🎉🎉杨紫和李现的精彩演绎让这部剧成为观众心中的宝藏[金疙瘩][金疙瘩]你最喜欢《国色芳华》中的哪个角色？一起重刷#剧集国色芳华[超话]#回顾经典瞬间吧[打call] http://t.cn/A617QcAQ ​,Tue Feb 11 18:22:51 +0800 2025,343,340,11582,超话社区官方微博
5132662180154622,"【为什么🌲🍊总结也要聚宝啊？破防如斯[吃惊]】
1️⃣发帖数219w再创新高‼️发帖人数5.1w再创新高‼️恭喜铲丝突破自己的纪录！面对一觉醒来就发现别人半夜氵了快 100w铲丝还能抗洪把差距从近70w缩小到30w真的很不容易，而且再一看发帖人数对比就知道💧货再怎么💧也总会被发帖人数暴露呀，没 ​",Tue Feb 11 00:38:06 +0800 2025,62,89,20975,超话粉丝钻咖（苏新皓超话）
5132928178722201,每天开心. ​,Tue Feb 11 18:15:06 +0800 2025,1823,2952,6323,歌手
5132579184838463,"#邓为苏易水# 💎#邓为仙台有树# 💎#邓为0226生日快乐#

🌟正🌟  一纸师徒契，两世痴缠局
🌟在🌟  白衣惊鸿影，易水绝世颜
🌟热🌟  《仙台有树》绿意蔚然
🌟映🌟  ══·🥝 正在热播🥝·══

全球钻石祝《仙台有树》收视长虹，苏易水快意人间。

视频：Healer
文案：歌、君君  ​",Mon Feb 10 19:08:19 +0800 2025,1662,1200,3661,超话粉丝大咖（邓为超话）
5132557303154751,#掌心 2025女本位第一枪# 都女本了就不要雌竞了吧还搞第一这种词。我记得芒果的国色芳华是观众看了自己从剧情里体会到了女本位，而不是宣发强行给观众上价值。好看的剧不是喊个口号就能吸引观众的，观众还是要看剧情的。国色芳华好看在方方面面，女本位只是其中一个优点。加油啦 ​,Mon Feb 10 17:41:22 +0800 2025,17,40,2564,娱乐明星领域博主
5132923510459931,"长征8号甲发射成功！！！

天公不作美，今天下点下雨，肉眼只能看到几秒，但仍然足够震撼，激动地快哭了[舔屏]我是骄傲的中国人[酷]

#火箭发射##长征八号运载火箭首飞试验成功##为中国航天点赞##祖国万岁#  http://t.cn/A617Yqvw ​",Tue Feb 11 17:56:33 +0800 2025,302,333,1260,上海合川实业有限公司法务总监蒋晴
5132937366340769,董思成好会演啊！傲娇的小表情很到位。。他真的好适合古装啊！董思成请上桌🤲🏻🤲🏻🤲🏻#董思成演技# ​,Tue Feb 11 18:51:35 +0800 2025,107,106,1716,娱乐明星领域博主
5132901823283742,赵露思在他泰真的火！泰国世界级艺术大师现场教画她的角色苏幕遮[赞][赞][赞] ​,Tue Feb 11 16:30:22 +0800 2025,78,529,5143,娱乐明星领域博主
5132933268246713,2025才开年内娱就这么精彩了，真就发疯元年是吧[哆啦A梦害怕] ​,Tue Feb 11 18:35:19 +0800 2025,293,438,11145,微博娱乐资讯博主 微博娱评团成员
5132954636649253,"#周深[超话]# 🎵#周深9.29Hz世界巡回演唱会#
密密麻麻的乐谱中藏着我们同频的信号。
世界巡回演唱会准备中，音乐👌，乐队👌，期待与周深@卡布叻_周深 2月14日在伦敦THE O2见面！
#周深世界巡回伦敦站# 倒计时3天。 ​",Tue Feb 11 20:00:14 +0800 2025,7712,9347,24758,周深工作室官方微博
5132952235149792,#白色橄榄树# 本杰明报到🫡今晚20:00开播，一起来聊一下台前幕后的欢乐趣事~这次不要从我的直播间路过了[全力以赴]#剧星驾到# #娱乐探索编辑部#   http://t.cn/A617mB7l ​,Tue Feb 11 19:50:41 +0800 2025,222,19878,1731,演员王天辰，代表作《芳华》、《归去来》
5132955598982947,【#2025元宵晚会最期待的舞台#】#元宵晚会官宣# 近日，总台及各大卫视跨年晚会阵容陆续公布。@TFBOYS-易烊千玺 @汪苏泷 @黄子弘凡_Lars @卡布叻_周深 @摩登兄弟刘宇宁 @刘宇Yu_ 等加盟总台元宵晚会；@陈丽君_点绛唇 @登陆少年组合 （@TOP登陆少年-朱志鑫 @TOP登陆少年-张泽禹 @TOP登陆少年-张极  ​,Tue Feb 11 20:04:03 +0800 2025,557,925,18550,中国新闻网法人微博
