created_at,text,user_name,user_avatar,reposts_count,comments_count,attitudes_count
2025-02-13 15:51:43,【外交部：#中方要求澳方停止侵权挑衅#】外交部发言人郭嘉昆主持今天（2月13日）举行的例行记者会。就澳大利亚军机蓄意侵闯中国西沙群岛领空一事，郭嘉昆表示，澳大利亚军机未经中方允许蓄意侵闯中国西沙群岛领空，侵犯中国主权，危害中方国家安全。中方采取驱离措施，正当合法、专业克制。中方已就此 ​,中国军号,"https://tvax3.sinaimg.cn/crop.0.0.478.478.1024/008rKb6ply8h8vgdqmh1oj30da0da0t6.jpg?KID=imgbed,tva&Expires=1739445662&ssig=NxCgs7PG9F",5,4,17
2025-02-13 15:46:43,北神今天全天空仓，这还有点高手的意思！ ​,天津股侠,"https://tva3.sinaimg.cn/crop.0.0.1242.1242.1024/710f2ff5jw8f8v9xo0cpcj20yi0yiwg5.jpg?KID=imgbed,tva&Expires=1739445694&ssig=S0QabKJQie",1,40,851
2025-02-13 15:43:33,"神！看看我前面的文章说的大盘点位置，是时候赞赞自己了女粉丝有吗？，女粉丝有没有？索哥喜欢你们[允悲][允悲][允悲]
这就是走势结构给出的信号，所以大家永远要相信技术的魅力。明显的拉升力度越来越弱，，比较1.3.5每一个拉升段，力量进行比较。最后一个拉升段5是不是明显弱于3了？这个就是多头衰竭 ​",索哥_,"https://tvax1.sinaimg.cn/crop.0.0.512.512.1024/007v4yPgly8hbsh5o5v2zj30e80e83z5.jpg?KID=imgbed,tva&Expires=1739446096&ssig=G1m1BWcblo",1,104,652
2025-02-13 15:40:00,过年好呀，2025年是西部地区的首个“全国包邮”的春节，西部县域的人在家就能吃上东部的鲍鱼、海参等等等啦，当地的牛羊肉也可以加速进入东部地区的餐桌了，各地都红红火火呀！足不出户就能吃一顿丰盛的东西融合式年夜饭，#内蒙古牧民吃上了包邮的榴莲# 啦！真的敲棒！！ ​,番茄酱soso,"https://tvax2.sinaimg.cn/crop.0.0.995.995.1024/c7eb1e74ly8hp8hf2y8kgj20rn0rndie.jpg?KID=imgbed,tva&Expires=1739446084&ssig=lddfV3b%2F4v",1646,145,5174
2025-02-13 15:39:33,#昨天定情镯今天阴阳隔# 采莲，你的仇，我一定报……恶人，一定会下地狱！#电视剧掌心##掌心许淇杰# http://t.cn/A61AjabY ​,许淇杰Xuper,"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/7facd940ly8glj5ih5eejj20e80e8glu.jpg?KID=imgbed,tva&Expires=1739445668&ssig=d0KyHxW%2BZH",1014,1027,2124
2025-02-13 15:38:13,看到这些照片，火焰在脸前的温度我依然感受得到#白色橄榄树# ​,梁洁Little,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/a72b45cbly8hy4e2jpouwj20u00u0jtp.jpg?KID=imgbed,tva&Expires=1739445680&ssig=QxJ%2FvD8yjT",6550,11239,12738
2025-02-13 15:31:14,#邓为瞬间爆发力#“断念！断妄念！速断我妄念！”央仔（嘴替版）上线，活动现场让苏易水@邓为D 还原了断念哥名场面[偷笑]，不知大家可还满意[馋嘴]#邓为一秒进入角色还原断念名场面##仙台有树微博追剧团# http://t.cn/A61AjhZf ​,央视网文娱,"https://tvax4.sinaimg.cn/crop.0.0.600.600.1024/008rtIkXly8h8w5cvrf1nj30go0gomxl.jpg?KID=imgbed,tva&Expires=1739445667&ssig=jR5h0YdI4Q",2172,1217,5164
2025-02-13 15:28:16,"【#河北一地辟谣燃放烟花爆竹引燃多车#：没有车辆着火，火灾原因正在调查】2月13日凌晨，有网友发布视频称，河北省望都县九龙河旁疑似有人燃放烟花爆竹导致多辆汽车被烧。视频中，着火区域火光冲天，滚滚浓烟飘向空中。民警正维持秩序，而火灾不远处就有一间加油站。
2月13日上午，经视直播记者联系上 ​",昆明信息港,"https://tvax1.sinaimg.cn/crop.246.116.515.515.1024/6368eee4ly8h8vgou6odoj20rq0rqtbn.jpg?KID=imgbed,tva&Expires=1739445665&ssig=K%2FpLQP0Sax",0,0,0
2025-02-13 15:27:09,小胖子的另一个🎺，还搞狡兔三窟呢 http://t.cn/A61AlmNm ​,一心一意碎碎念,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.1024/006LzasHly8hiq6y7hiqfj30u00u0jtp.jpg?KID=imgbed,tva&Expires=1739446088&ssig=U9pL0q3GV7",57,79,692
2025-02-13 15:26:38,目前的仓位，出门在外就这么多吧，下周五侠哥回来再干！ ​,天津股侠,"https://tva3.sinaimg.cn/crop.0.0.1242.1242.1024/710f2ff5jw8f8v9xo0cpcj20yi0yiwg5.jpg?KID=imgbed,tva&Expires=1739445252&ssig=KnRGOL8fEP",1,45,720
2025-02-13 15:22:19,昨天尾盘还买了一只北所的前龙头，今天也是全天水下，盘中有获利，嫌太小没要，尾盘被套。主要是仓位太轻了，再卖就空仓了[笑cry] ​,天津股侠,"https://tva3.sinaimg.cn/crop.0.0.1242.1242.1024/710f2ff5jw8f8v9xo0cpcj20yi0yiwg5.jpg?KID=imgbed,tva&Expires=1739445677&ssig=mlQDg7s0D%2B",0,23,838
2025-02-13 15:21:56,"100，挑战一年600实盘（29天）

目前总资产：108+

当日参考盈亏：+101675

今天操作：止损中亦 * * 。跟入福石控股！

特别声明：这只是我个人的操作记录，不作为任何投资建议，更不是劝你们跟买！ 股市有风险，投资需谨慎！ ​ ​​​",财经陈裕升,"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/b5618bc9ly8hsz3qoiwx1j20e80e83zj.jpg?KID=imgbed,tva&Expires=1739445681&ssig=n8njrGcCg8",0,4,605
2025-02-13 15:18:25,【惟妙惟肖！#粉色的醉狮表演灵动可爱#[哇]】近日，广东潮州一女生表演“醉狮”，粉色的狮身，低头闻酒时的眼眸闪烁，也太灵动了。网友：#粉粉的狮子看着太招人喜欢了#。 http://t.cn/A61Ayzn6 ​​​,德州高速交警,"https://tvax3.sinaimg.cn/crop.0.0.829.829.1024/005wvnz6ly8h8wcegrg8jj30n10n1762.jpg?KID=imgbed,tva&Expires=1739445242&ssig=j2p8%2FI9H0i",0,0,0
2025-02-13 15:16:32,#中国金球奖# #张琳艳蝉联中国女子金球奖# 2024中国女足金球奖得主公布，@张琳艳Pippi 击败沈梦雨、李梦雯等人成功蝉联中国女足金球奖！！！ ​,围观体坛,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/6f0b57d3ly8h8w6r34ix3j20u00u00uo.jpg?KID=imgbed,tva&Expires=1739445668&ssig=QtPv0jj8Am",0,2,0
2025-02-13 15:16:31,#中国金球奖# #张琳艳蝉联中国女子金球奖# 2024中国女足金球奖得主公布，@张琳艳Pippi 击败沈梦雨、李梦雯等人成功蝉联中国女足金球奖！！！ ​,微博体育,"https://tvax3.sinaimg.cn/crop.0.0.180.180.1024/003bHf16ly8h8v3zg3zhkj6050050glg02.jpg?KID=imgbed,tva&Expires=1739445668&ssig=eca%2BCPCPYH",0,1,1
